gdp_m_sa,gdp_s_sa,gdp_sa
1358.90 ,9649.30 ,17109.70 
1440.90 ,10023.70 ,17797.70 
1503.60 ,10257.60 ,17907.80 
1685.20 ,10831.60 ,19287.50 
1672.80 ,11037.40 ,19395.70 
1747.50 ,11369.40 ,20027.50 
1796.70 ,11457.80 ,20066.20 
1821.50 ,11750.30 ,20216.90 
1868.40 ,12017.80 ,20507.50 
1928.00 ,12296.80 ,21113.60 
2027.50 ,12426.50 ,21461.60 
2271.70 ,12571.50 ,22374.00 
2347.10 ,13346.80 ,23114.00 
2463.40 ,13610.50 ,24085.30 
2735.00 ,13897.80 ,25311.30 
3007.10 ,13979.70 ,25677.60 
3035.80 ,14605.90 ,26749.70 
3078.40 ,14567.30 ,26679.20 
3076.40 ,14792.50 ,27095.60 
3095.80 ,14672.50 ,27003.20 
3269.90 ,15189.60 ,27385.20 
3328.90 ,15570.30 ,28674.50 
3534.20 ,16028.90 ,29494.00 
3715.90 ,16345.90 ,30404.10 
3933.00 ,16528.20 ,31282.40 
4224.80 ,16937.30 ,32786.20 
4300.60 ,17662.80 ,33422.30 
4301.70 ,18102.20 ,33798.20 
4387.70 ,18072.80 ,34136.50 
4808.80 ,19063.00 ,35868.30 
4985.40 ,19493.90 ,38023.70 
5308.70 ,19843.40 ,39456.50 
5552.30 ,20093.20 ,39137.10 
5954.70 ,20863.10 ,40343.40 
6279.20 ,21292.70 ,41093.50 
6631.80 ,22037.50 ,43064.90 
6745.00 ,23172.70 ,44996.80 
6848.80 ,22734.10 ,45336.90 
6746.20 ,22401.50 ,44082.10 
6632.10 ,22666.60 ,43412.60 
6595.50 ,23743.80 ,43797.30 
6564.20 ,23706.50 ,43561.00 
6634.70 ,24223.90 ,44385.60 
6808.60 ,24627.80 ,43158.00 
6970.60 ,24623.50 ,44934.00 
7137.50 ,25201.20 ,46019.40 
7504.30 ,25724.50 ,47935.10 
7454.20 ,26577.00 ,48687.10 
7417.50 ,26953.80 ,49017.50 
7522.60 ,27561.40 ,50168.60 
7655.80 ,28317.80 ,51209.10 
7952.80 ,29012.60 ,52820.60 
8466.00 ,29718.50 ,55160.80 
8669.90 ,30320.70 ,56864.00 
9191.20 ,31187.40 ,58975.70 
9386.40 ,31626.60 ,59397.90 
10093.80 ,33004.80 ,62000.30 
10838.90 ,33294.70 ,63554.30 
10907.90 ,33711.60 ,64420.70 
10921.00 ,34136.80 ,64733.80 
11108.80 ,35180.20 ,66553.40 
11294.00 ,36440.40 ,68156.60 
11482.30 ,36586.30 ,68932.00 
11839.70 ,37741.00 ,71033.50 
12309.90 ,38243.10 ,72401.20 
13079.60 ,39549.10 ,75222.80 
13526.60 ,41409.60 ,78470.30 
14254.10 ,41954.20 ,79694.30 
15011.90 ,43165.10 ,82253.70 
16286.80 ,44797.10 ,86327.90 
15720.30 ,46405.00 ,87170.20 
16937.70 ,46160.50 ,88944.40 
18246.20 ,49569.30 ,95796.00 
17338.30 ,49992.50 ,93726.10 
18184.90 ,50884.30 ,96674.40 
18760.90 ,52681.30 ,99820.80 
18521.40 ,53815.80 ,99864.00 
18557.20 ,54579.30 ,101322.60 
19122.10 ,55810.10 ,103920.90 
19531.30 ,57803.40 ,108212.60 
20122.60 ,59029.70 ,109314.80 
20744.50 ,59814.20 ,111753.20 
21594.80 ,61263.40 ,115366.10 
21824.30 ,62549.80 ,117711.80 
23005.50 ,64590.30 ,122126.20 
23509.00 ,66211.80 ,124155.30 
24237.80 ,68345.60 ,126818.80 
25390.00 ,69011.70 ,129993.80 
25250.60 ,70248.00 ,132308.20 
25515.80 ,71939.30 ,133236.60 
25414.60 ,72923.10 ,133326.70 
25685.80 ,74370.80 ,135407.50 
26240.90 ,75682.00 ,138103.00 
26970.50 ,77510.90 ,141645.80 
27682.80 ,79161.00 ,144257.30 
28301.00 ,80902.60 ,147017.90 
29159.20 ,82729.70 ,151306.20 
30130.10 ,84451.90 ,153774.90 
30318.80 ,86541.20 ,156361.70 
32249.50 ,89115.50 ,162507.40 
33170.20 ,90980.90 ,165904.60 
34205.00 ,92364.40 ,169258.90 
34680.10 ,94479.80 ,172772.50 
35612.90 ,96257.80 ,176004.30 
36550.30 ,97551.50 ,179362.70 
37152.40 ,99975.40 ,182986.10 
37792.40 ,102027.70 ,186204.70 
38372.40 ,103803.30 ,189354.50 
38710.80 ,104620.60 ,190240.80 
40823.00 ,107854.40 ,196995.40 
40274.90 ,109756.20 ,198555.10 
39448.70 ,110012.50 ,197649.70 
36553.00 ,103198.40 ,184173.90 
35736.40 ,103966.70 ,182685.90 
36688.80 ,106335.50 ,185877.70 
39039.80 ,108256.90 ,190517.30 
39785.90 ,110983.80 ,196298.80 
44028.00 ,113753.60 ,204902.90 
46253.50 ,116758.30 ,210601.60 
48516.70 ,119358.40 ,216680.10 
49942.60 ,122010.10 ,220786.30 
51149.60 ,123155.60 ,223728.30 
54074.10 ,124077.20 ,229891.10 
52300.10 ,126745.60 ,229145.20 
52935.40 ,128640.50 ,231953.50 
52914.60 ,130419.60 ,234966.30 
53260.60 ,131940.10 ,238138.80 
54254.10 ,135377.10 ,242336.20 
56059.00 ,139181.40 ,248502.40 
57725.00 ,142135.70 ,253005.60 
59539.50 ,144169.30 ,258120.90 
60269.30 ,145231.80 ,260953.40 
59793.30 ,144109.60 ,259233.30 
59170.10 ,144661.50 ,258833.70 
61648.20 ,147037.30 ,263836.10 
64728.10 ,149138.00 ,270800.00 
66644.60 ,148955.40 ,274198.00 
67708.20 ,150310.60 ,276291.50 
67888.40 ,151672.90 ,277412.10 
68461.70 ,152882.30 ,279514.70 
68985.30 ,154339.60 ,281893.10 
70370.00 ,156343.70 ,287212.60 
72254.60 ,158980.00 ,291536.10 
73486.00 ,160750.50 ,294487.80 
75432.20 ,162645.60 ,299314.80 
75902.10 ,164691.50 ,301501.60 
78182.70 ,166094.00 ,306367.70 
77988.60 ,168009.10 ,308755.40 
80381.30 ,171215.80 ,313924.10 
82195.90 ,173732.40 ,319355.90 
83645.00 ,175948.50 ,323104.60 
86446.30 ,178885.90 ,330073.80 
87193.80 ,180475.60 ,331402.00 
87964.10 ,181755.80 ,333136.80 
88477.80 ,183313.10 ,335854.80 
80823.50 ,181210.00 ,324825.70 
78843.90 ,181204.00 ,325118.00 
81019.10 ,183930.00 ,329451.10 
87998.10 ,187100.10 ,339310.50 
88555.10 ,189137.40 ,341844.70 
90597.30 ,192157.50 ,348541.70 
95119.70 ,193478.00 ,355163.30 
97254.20 ,195309.90 ,359266.20 
99272.10 ,198266.30 ,363646.80 
100746.20 ,200640.60 ,367040.10 
100201.20 ,201876.60 ,368841.50 
100708.10 ,202965.10 ,370782.80 
100626.20 ,204128.00 ,372534.00 
101322.10 ,207256.50 ,375799.30 
101817.60 ,208785.80 ,377917.10 
102420.40 ,209631.70 ,379552.70 
102399.80 ,211133.20 ,381467.50 
103786.30 ,213144.10 ,384831.00 
104865.00 ,216276.00 ,389358.30 
105692.00 ,217876.70 ,392697.20 
106149.70 ,219511.00 ,395787.20 
108080.30 ,221248.80 ,399560.70 
109388.10 ,222574.50 ,402957.70 
108295.00 ,224212.90 ,404195.70 
108090.10 ,226004.30 ,406003.30 
109283.30 ,227565.20 ,409483.10 
109733.30 ,228652.60 ,411150.70 
110938.60 ,231522.10 ,417190.50 
111178.30 ,233730.00 ,420196.00 
111151.80 ,234619.40 ,421397.60 
113134.20 ,236829.30 ,426146.00 
112416.00 ,238231.80 ,428036.00 
114592.20 ,238738.60 ,431300.70 
116177.30 ,239775.00 ,434823.20 
115901.40 ,242066.20 ,437831.10 
118964.70 ,244914.10 ,444245.20 
117026.90 ,246351.10 ,443912.10 
118176.30 ,250197.60 ,448645.40 
119839.60 ,251568.10 ,451406.90 
122099.50 ,253352.90 ,454011.90 
123414.70 ,255304.20 ,457941.10 
119886.80 ,256920.70 ,456385.50 
121050.80 ,259018.80 ,461013.90 
123208.30 ,260348.40 ,462744.80 
125466.80 ,263615.90 ,468814.30 
124259.10 ,257262.90 ,462805.50 
113194.30 ,255006.00 ,448209.30 
122127.60 ,257184.70 ,457783.70 
125601.20 ,258125.40 ,462766.40 
